user_Id,Product_Id,Picture URL,Brand,Product Name,Model,Price in India,Ratings
AKM1MP6P0OYPR,0132793040,https://i.gadgets360cdn.com/products/cameras/large/1548234934_832_panasonic_lumix-dc-gh5ga-20-33mp-dslr-camera.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Panasonic,"Panasonic Lumix DC GH5GA DSLR Camera (20.3MP, Black)",Lumix DC GH5GA 20.33MP DSLR Camera,"₹ 107,588",5.0
A2CX7LUOHB2NDG,0321732944,https://i.gadgets360cdn.com/products/cameras/large/1548234953_832_panasonic_lumix-dmc-gx8k-20-3mp-dslr-camera.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Panasonic,"Panasonic Lumix DMC GX8K DSLR Camera (20.3MP, Black)",Lumix DMC GX8K 20.3MP DSLR Camera,"₹ 153,716",5.0
A2NWSAGRHCP8N5,0439886341,https://i.gadgets360cdn.com/products/cameras/large/1548234910_832_nikon_d7200-24-2mp-dslr-camera.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Nikon,"Nikon D7200 DSLR Camera (24.2MP, Black)",D7200 24.2MP DSLR Camera,"₹ 81,400",1.0
A2WNBOD3WNDNKT,0439886341,https://i.gadgets360cdn.com/products/cameras/large/1548234948_832_panasonic_lumix-dmc-gh4a-16-05mp-dslr-camera.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Panasonic,"Panasonic Lumix DMC GH4A DSLR Camera (16MP, Black)",Lumix DMC GH4A 16.05MP DSLR Camera,"₹ 99,990",3.0
A1GI0U4ZRJA8WN,0439886341,https://i.gadgets360cdn.com/products/cameras/large/1548234966_832_panasonic_lumix-g7-16-0mp-dslr-camera.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Panasonic,"Panasonic LUMIX G7 DSLR Camera (16.5MP, Black)",LUMIX G7 16.0MP DSLR Camera,"₹ 37,990",1.0
A1QGNMC6O1VW39,0511189877,https://i.gadgets360cdn.com/products/cameras/large/1548235059_832_sony_ilce-7rm3-42-4mp-dslr-camera.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Sony,"Sony ILCE 7RM3 DSLR Camera (42.4MP, Black)",ILCE 7RM3 42.4MP DSLR Camera,"₹ 217,990",5.0
A3J3BRHTDRFJ2G,0511189877,https://i.gadgets360cdn.com/products/cameras/large/1548234979_832_ricoh_pentax-k-3-ii-23-35mp-dslr-camera.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Ricoh,"Ricoh Pentax K-3 II DSLR Camera (24MP, Black)",Pentax K-3 II 23.35MP DSLR Camera,"₹ 101,000",2.0
A2TY0BTJOTENPG,0511189877,https://i.gadgets360cdn.com/products/cameras/large/1548234726_832_canon_eos-200d-24-2mp-dslr-camera.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Canon,"Canon EOS 200D DSLR Camera (24.2MP, Black)",EOS 200D 24.2MP DSLR Camera,"₹ 59,999",5.0
A34ATBPOK6HCHY,0511189877,https://i.gadgets360cdn.com/products/cameras/large/1548234738_832_canon_eos-6d-mark-ii-26-2mp-dslr-camera.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Canon,"Canon EOS 6D Mark II DSLR Camera (26.2MP, Black)",EOS 6D Mark II 26.2MP DSLR Camera,"₹ 194,999",5.0
A89DO69P0XZ27,0511189877,https://i.gadgets360cdn.com/products/cameras/large/1548234765_832_canon_eos-rebel-sl2-24-2mp-dslr-camera.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Canon,"Canon EOS Rebel SL2 DSLR Camera (24.2mp, White)",EOS Rebel SL2 24.2MP DSLR Camera,"₹ 67,521",5.0
